skribb_word,num_candidates,present_candidates,missing_candidates,covered_by_any_candidate
drain,1,sink,,1
drawer,1,dresser,,1
drill,1,drill,,1
drive,1,car,,1
drought,1,rain,,1
duck,1,duck,,1
dunes,1,beach,,1
dusk,1,sun,,1
earbuds,1,ear,,1
earmuffs,1,ear,,1
earth,1,ocean,,1
easter bunny,1,rabbit,,1
eiffel tower,1,the eiffel tower,,1
elbow,1,elbow,,1
electric car,1,car,,1
elephant,1,elephant,,1
eraser,1,eraser,,1
eye,1,eye,,1
eyebrow,1,eye,,1
eyelash,1,eye,,1
eyelid,1,eye,,1
eyeliner,1,eye,,1
eyepatch,1,eye,,1
face,1,face,,1
fake teeth,1,tooth,,1
falcon,1,bird,,1
fan,1,fan,,1
fanta,1,fan,,1
farmer,1,tractor,,1
faucet,1,sink,,1
feather,1,feather,,1
fence,1,fence,,1
fencing,1,fence,,1
ferrari,1,car,,1
ferris wheel,1,wheel,,1
finger,1,finger,,1
fingernail,1,finger,,1
fingertip,1,finger,,1
fire alarm,1,alarm clock,,1
fire hose,1,fire hydrant,,1
fire hydrant,1,fire hydrant,,1
firehouse,1,fireplace,,1
fireplace,1,fireplace,,1
fish,1,fish,,1
fish and chips,1,fish,,1
fish bowl,1,fish,,1
fisherman,1,fish,,1
fishing rod,1,fish,,1
flamingo,1,flamingo,,1
flashlight,1,flashlight,,1
flight,1,airplane,,1
flood,1,rain,,1
floodlight,1,streetlight,,1
flop,1,flip flops,,1
floss,1,toothbrush,,1
flower,1,flower,,1
flush,1,toilet,,1
flying pig,1,pig,,1
foot,1,foot,,1
footrest,1,foot,,1
forearm,1,elbow,,1
forehead,1,skull,,1
forest,1,tree,,1
forest fire,1,campfire,,1
fork,1,fork,,1
frame,1,picture frame,,1
fried chicken,1,chicken,,1
friendship bracelet,1,bracelet,,1
frog,1,frog,,1
frogger,1,frog,,1
fruit,1,banana,,1
full moon,1,moon,,1
furniture,1,couch,,1
garden,1,garden,,1
gardener,1,garden,,1
gingerbread,1,bread,,1
giraffe,1,giraffe,,1
glasses,1,eyeglasses,,1
glove,1,hand,,1
gloves,1,hand,,1
goat,1,sheep,,1
goatee,1,goatee,,1
golf club,1,golf club,,1
grapefruit,1,grapes,,1
grapes,1,grapes,,1
grass,1,grass,,1
great wall,1,the great wall of china,,1
green beans,1,peas,,1
green lantern,1,lantern,,1
groundhog,1,hedgehog,,1
guitar,1,guitar,,1
guitar hero,1,guitar,,1
gum,1,tooth,,1
gummy bear,1,bear,,1
gun,1,pistol,,1
hail,1,rain,,1
hairbrush,1,toothbrush,,1
hairy,1,beard,,1
hallway,1,stairs,,1
hamburger,1,hamburger,,1
